energy_GeV,particle,data_yield,data_err,gc_effective_model_yield,sce_model_yield,data_source,model_source,note
11.5,Lambda_bar,0.659,0.04785394446,0.689161,,ins1738953/AntiLambda dN/dy 11.5 GeV,,
11.5,Xi,1.35,0.1118033989,1.371727,,ins1738953/Xi- dN/dy 11.5 GeV,,
11.5,Xi_bar,0.169,0.01456021978,0.161873,,ins1738953/AntiXi+ dN/dy 11.5 GeV,,
11.5,phi,1.72,0.2630589288,,,ins1738953/Phi dN/dy 11.5 GeV,,
19.6,K+,29.5581,2.974592039,30.939527,,"ins1510593/dN/dy, 19.6 GeV",,derived from dN/dy/(0.5*Npart) using Npart
19.6,K-,18.8266,1.893101762,20.848704,,"ins1510593/dN/dy, 19.6 GeV",,derived from dN/dy/(0.5*Npart) using Npart
19.6,Lambda,12.58,0.4617358552,12.676956,,ins1738953/Lambda dN/dy 19.6 GeV,,
19.6,Lambda_bar,1.858,0.09940824915,1.934246,,ins1738953/AntiLambda dN/dy 19.6 GeV,,
19.6,Xi,1.62,0.1019803903,1.548143,,ins1738953/Xi- dN/dy 19.6 GeV,,
19.6,Xi_bar,0.421,0.03041381265,0.391982,,ins1738953/AntiXi+ dN/dy 19.6 GeV,,
19.6,phi,2.57,0.3522782991,,,ins1738953/Phi dN/dy 19.6 GeV,,
27,K+,31.06865,2.815112332,33.160246,,"ins1510593/dN/dy, 27 GeV",,derived from dN/dy/(0.5*Npart) using Npart
27,K-,22.62347,2.05987152,23.732895,,"ins1510593/dN/dy, 27 GeV",,derived from dN/dy/(0.5*Npart) using Npart
27,Lambda,11.67,0.5115662225,11.766578,,ins1738953/Lambda dN/dy 27 GeV,,
27,Lambda_bar,2.75,0.1403566885,2.856048,,ins1738953/AntiLambda dN/dy 27 GeV,,
27,Xi,1.57,0.1104536102,1.509410,,ins1738953/Xi- dN/dy 27 GeV,,
27,Xi_bar,0.598,0.03847076812,0.559793,,ins1738953/AntiXi+ dN/dy 27 GeV,,
27,phi,3.01,0.4517742799,,,ins1738953/Phi dN/dy 27 GeV,,
39,K+,31.966034999999998,2.90450025,33.427435,,"ins1510593/dN/dy, 39 GeV",,derived from dN/dy/(0.5*Npart) using Npart
39,K-,25.012439999999998,2.272369228,27.130105,,"ins1510593/dN/dy, 39 GeV",,derived from dN/dy/(0.5*Npart) using Npart
39,Lambda,11.02,0.8605230967,10.646883,,ins1738953/Lambda dN/dy 39 GeV,,
39,Lambda_bar,3.82,0.3601388621,3.908284,,ins1738953/AntiLambda dN/dy 39 GeV,,
39,Xi,1.54,0.1902629759,1.482998,,ins1738953/Xi- dN/dy 39 GeV,,
39,Xi_bar,0.78,0.1104536102,0.712695,,ins1738953/AntiXi+ dN/dy 39 GeV,,
39,phi,3.38,0.4809365863,,,ins1738953/Phi dN/dy 39 GeV,,
62.4,K+,37.600000,2.700000,41.262638,,data/thermus_fit_points/sqrts_62p4GeV_points.csv,,measured yield carried from THERMUS fit-point table
62.4,K-,32.400000,2.300000,35.813746,,data/thermus_fit_points/sqrts_62p4GeV_points.csv,,measured yield carried from THERMUS fit-point table
62.4,Lambda,15.576031,2.306688,12.216119,,data/thermus_fit_points/sqrts_62p4GeV_points.csv,,measured yield carried from THERMUS fit-point table
62.4,Lambda_bar,7.252200,1.040042,6.317052,,data/thermus_fit_points/sqrts_62p4GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,K+,51.300000,6.500000,59.474607,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,K-,49.500000,6.200000,56.308964,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,Lambda,16.700000,1.118034,15.140155,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,Lambda_bar,12.700000,0.921954,11.829267,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,Xi,2.170000,0.199249,2.353180,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
200,Xi_bar,1.830000,0.206155,1.974187,,data/thermus_fit_points/sqrts_200p0GeV_points.csv,,measured yield carried from THERMUS fit-point table
