#: table_doi: 10.17182/hepdata.105867.v1/t4
#: name: Table 4
#: description: Directed flow for $\pi^{+}$ and $\pi^{-}$ versus rapidity for intermediate-centrality (10-40$\%$) Au+Au collisions at $\sqrt{s_{NN}}$ = 200, 62.4, 39, 27, 19.6, 11.5 and 7.7 GeV. Errors are statistical only.
#: data_file: Table4.yaml
#: keyword observables: Directed flow
#: keyword phrases: Directed flow | Rapidity dependence
#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],200.0
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
0.5,-0.0106062,0.000508304,-0.000508304
0.7,-0.0152229,0.000565184,-0.000565184
0.9,-0.0185007,0.00100339,-0.00100339

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],7.7
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.0263428,0.00115879,-0.00115879
-0.7,0.0182313,0.000684898,-0.000684898
-0.5,0.0127261,0.000591136,-0.000591136
-0.3,0.00816863,0.000581837,-0.000581837
-0.1,0.0029451,0.000585772,-0.000585772
0.1,-0.000838424,0.00058431,-0.00058431
0.3,-0.00662795,0.000577756,-0.000577756
0.5,-0.0121488,0.000585429,-0.000585429
0.7,-0.0175733,0.00067869,-0.00067869
0.9,-0.0242242,0.00114976,-0.00114976

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],7.7
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0177322,0.00112423,-0.00112423
-0.7,0.0148518,0.000661336,-0.000661336
-0.5,0.0097621,0.000570038,-0.000570038
-0.3,0.00484279,0.000561605,-0.000561605
-0.1,0.00296891,0.000566271,-0.000566271
0.1,-0.000666419,0.000564669,-0.000564669
0.3,-0.0057781,0.000558678,-0.000558678
0.5,-0.00903913,0.000565402,-0.000565402
0.7,-0.0132229,0.000656118,-0.000656118
0.9,-0.0207987,0.00111938,-0.00111938

