x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma,input_gaussian_width,input_gaussian_width_error
1.52,1.54,1.53,41268,-7.16355536606,0.0456548134341,1.72211596845,0.00863953083685,2.76085597372,1,4,1.71337234734,0.0153323764436,0.327814618644,0.139210051036,0,0
1.54,1.56,1.55,39117,-7.08529170051,0.120571825968,1.73269299307,0.0164828311848,2.80467396578,1,4,1.75757889528,0.0149857841609,0.35775433897,0.151924279619,0,0
1.56,1.58,1.57,37357,-7.08660411579,0.0828740260234,1.72308066391,0.0134339000949,2.86433951822,1,4,1.7568615385,0.0136326968069,0.346818852433,0.147280406063,0,0
1.58,1.6,1.59,35036,-6.82528203196,0.089697856754,1.69624595187,0.013087468567,2.53391759325,1,4,1.68641894637,0.0135956440613,0.327919815305,0.139254723944,0,0
1.6,1.62,1.61,34337,-7.2173386876,0.0954426194903,1.73552763424,0.0145989828664,2.44119241112,1,4,1.75964493303,0.0147915449086,0.325846811308,0.138374400201,0,0
1.62,1.64,1.63,31604,-7.29242458381,0.11201397338,1.73225852866,0.0156785192009,2.27117993353,1,4,1.73874366858,0.0148365663247,0.323203900709,0.137252059407,0,0
1.64,1.66,1.65,29928,-7.2537346784,0.122949911063,1.73786085559,0.0166943763615,2.21857047732,1,4,1.72830500471,0.0166917548818,0.324893613512,0.137969614367,0,0
1.66,1.68,1.67,28716,-7.17767760011,0.135148118028,1.73901879546,0.0179985069595,2.12502162956,1,4,1.71574057179,0.0170748230098,0.334696104471,0.142132349001,0,0
1.68,1.7,1.69,27320,-7.61079189663,0.114651032697,1.79128943325,0.0165374234654,2.20435976239,1,4,1.79759747453,0.0159010776189,0.317299274414,0.13474459549,0,0
1.7,1.72,1.71,26528,-7.32012214844,0.116892226763,1.75245046827,0.0163663717264,1.83347318627,1,4,1.72697821278,0.00965860835004,0.332894675657,0.141367352619,0,0
1.72,1.74,1.73,24133,-7.29652279326,0.110558264591,1.74512466892,0.0163076675895,1.78103904994,1,4,1.76208279259,0.0168863196489,0.317290718835,0.13474096227,0,0
