series,p_GeV_c,sigma_dcaxy_cm,sigma_error_cm
PXL+INTT fit,2.94646,0.00151239,
PXL+INTT fit,2.95846,0.00151239,
PXL+INTT fit,2.97046,0.00149935,
PXL+INTT fit,2.98246,0.00149935,
PXL+INTT fit,2.99446,0.00148631,
PXL+INTT fit,3.00646,0.00148631,
PXL+INTT fit,3.01846,0.00148631,
PXL+INTT fit,3.03046,0.00148631,
PXL+INTT fit,3.04246,0.00148631,
PXL+INTT fit,3.05446,0.00148631,
PXL+INTT fit,3.06646,0.00148631,
PXL+INTT fit,3.07846,0.00148631,
PXL+INTT fit,3.09046,0.00148631,
PXL+INTT fit,3.10246,0.00147327,
PXL+INTT fit,3.11446,0.00147327,
PXL+INTT fit,3.12646,0.00147327,
PXL+INTT fit,3.13846,0.00147327,
PXL+INTT fit,3.15046,0.00146023,
PXL+INTT fit,3.16246,0.00146023,
PXL+INTT fit,3.17446,0.00146023,
PXL+INTT fit,3.18646,0.00146023,
PXL+INTT fit,3.19846,0.00146023,
PXL+INTT fit,3.21046,0.00146023,
PXL+INTT fit,3.22246,0.00146023,
PXL+INTT fit,3.23446,0.00146023,
PXL+INTT fit,3.24646,0.00146023,
PXL+INTT fit,3.25846,0.00145372,
PXL+INTT fit,3.27046,0.00144720,
PXL+INTT fit,3.28246,0.00144720,
PXL+INTT fit,3.29446,0.00144720,
PXL+INTT fit,3.30646,0.00143416,
PXL+INTT fit,3.31846,0.00143416,
PXL+INTT fit,3.33046,0.00143416,
PXL+INTT fit,3.34246,0.00143416,
PXL+INTT fit,3.35446,0.00143416,
PXL+INTT fit,3.36646,0.00143416,
PXL+INTT fit,3.37846,0.00143416,
PXL+INTT fit,3.39046,0.00143416,
PXL+INTT fit,3.40246,0.00143416,
PXL+INTT fit,3.41446,0.00143416,
PXL+INTT fit,3.42646,0.00143416,
PXL+INTT fit,3.43846,0.00143416,
PXL+INTT fit,3.45046,0.00142112,
PXL+INTT fit,3.46246,0.00142112,
PXL+INTT fit,3.47446,0.00142112,
PXL+INTT fit,3.48646,0.00142112,
PXL+INTT fit,3.49846,0.00140808,
PXL+INTT fit,3.51046,0.00140808,
PXL+INTT fit,3.52246,0.00140808,
PXL+INTT fit,3.53446,0.00140808,
PXL+INTT fit,3.54646,0.00140808,
PXL+INTT fit,3.55846,0.00140808,
PXL+INTT fit,3.57046,0.00140808,
PXL+INTT fit,3.58246,0.00140808,
PXL+INTT fit,3.59446,0.00140808,
PXL+INTT fit,3.60646,0.00140808,
PXL+INTT fit,3.61846,0.00140808,
PXL+INTT fit,3.63046,0.00140808,
PXL+INTT fit,3.64246,0.00140808,
PXL+INTT fit,3.65446,0.00139505,
PXL+INTT fit,3.66646,0.00139505,
PXL+INTT fit,3.67846,0.00139505,
PXL+INTT fit,3.69046,0.00139505,
PXL+INTT fit,3.70246,0.00139505,
PXL+INTT fit,3.71446,0.00138201,
PXL+INTT fit,3.72646,0.00138201,
PXL+INTT fit,3.73846,0.00138201,
PXL+INTT fit,3.75046,0.00138201,
PXL+INTT fit,3.76246,0.00138201,
PXL+INTT fit,3.77446,0.00138201,
PXL+INTT fit,3.78646,0.00138201,
PXL+INTT fit,3.79846,0.00138201,
PXL+INTT fit,3.81046,0.00138201,
PXL+INTT fit,3.82246,0.00138201,
PXL+INTT fit,3.83446,0.00138201,
PXL+INTT fit,3.84646,0.00138201,
PXL+INTT fit,3.85846,0.00138201,
PXL+INTT fit,3.87046,0.00138201,
PXL+INTT fit,3.88246,0.00138201,
PXL+INTT fit,3.89446,0.00136897,
PXL+INTT fit,3.90646,0.00136897,
PXL+INTT fit,3.91846,0.00136897,
PXL+INTT fit,3.93046,0.00136897,
PXL+INTT fit,3.94246,0.00136897,
PXL+INTT fit,3.95446,0.00136897,
PXL+INTT fit,3.96646,0.00135593,
PXL+INTT fit,3.97846,0.00135593,
PXL+INTT fit,3.99046,0.00135593,
PXL+INTT fit,4.00246,0.00135593,
PXL+INTT fit,4.01446,0.00135593,
PXL+INTT fit,4.02646,0.00135593,
PXL+INTT fit,4.03846,0.00135593,
PXL+INTT fit,4.05046,0.00135593,
PXL+INTT fit,4.06246,0.00135593,
PXL+INTT fit,4.07446,0.00135593,
PXL+INTT fit,4.08646,0.00135593,
PXL+INTT fit,4.09846,0.00135593,
PXL+INTT fit,4.11046,0.00135593,
PXL+INTT fit,4.12246,0.00135593,
PXL+INTT fit,4.13446,0.00135593,
PXL+INTT fit,4.14646,0.00135593,
PXL+INTT fit,4.15846,0.00135593,
PXL+INTT fit,4.17046,0.00135593,
PXL+INTT fit,4.18246,0.00134941,
PXL+INTT fit,4.19446,0.00134289,
PXL+INTT fit,4.20646,0.00134289,
PXL+INTT fit,4.21846,0.00134289,
PXL+INTT fit,4.23046,0.00134289,
PXL+INTT fit,4.24246,0.00134289,
PXL+INTT fit,4.25446,0.00134289,
PXL+INTT fit,4.26646,0.00134289,
PXL+INTT fit,4.27846,0.00132986,
PXL+INTT fit,4.29046,0.00132986,
PXL+INTT fit,4.30246,0.00132986,
PXL+INTT fit,4.31446,0.00132986,
PXL+INTT fit,4.32646,0.00132986,
PXL+INTT fit,4.33846,0.00132986,
PXL+INTT fit,4.35046,0.00132986,
PXL+INTT fit,4.36246,0.00132986,
PXL+INTT fit,4.37446,0.00132986,
PXL+INTT fit,4.38646,0.00132986,
PXL+INTT fit,4.39846,0.00132986,
PXL+INTT fit,4.41046,0.00132986,
PXL+INTT fit,4.42246,0.00132986,
PXL+INTT fit,4.43446,0.00132986,
PXL+INTT fit,4.44646,0.00132986,
PXL+INTT fit,4.45846,0.00132986,
PXL+INTT fit,4.47046,0.00132986,
PXL+INTT fit,4.48246,0.00132986,
PXL+INTT fit,4.49446,0.00132986,
PXL+INTT fit,4.50646,0.00132986,
PXL+INTT fit,4.51846,0.00132986,
PXL+INTT fit,4.53046,0.00132986,
PXL+INTT fit,4.54246,0.00131682,
PXL+INTT fit,4.55446,0.00131682,
PXL+INTT fit,4.56646,0.00131682,
PXL+INTT fit,4.57846,0.00131682,
PXL+INTT fit,4.59046,0.00131682,
PXL+INTT fit,4.60246,0.00131682,
PXL+INTT fit,4.61446,0.00131682,
PXL+INTT fit,4.62646,0.00131682,
PXL+INTT fit,4.63846,0.00131682,
PXL+INTT fit,4.65046,0.00131682,
PXL+INTT fit,4.66246,0.00130378,
PXL+INTT fit,4.67446,0.00130378,
PXL+INTT fit,4.68646,0.00130378,
PXL+INTT fit,4.69846,0.00130378,
PXL+INTT fit,4.71046,0.00130378,
PXL+INTT fit,4.72246,0.00130378,
PXL+INTT fit,4.73446,0.00130378,
PXL+INTT fit,4.74646,0.00130378,
PXL+INTT fit,4.75846,0.00130378,
PXL+INTT fit,4.77046,0.00130378,
PXL+INTT fit,4.78246,0.00130378,
PXL+INTT fit,4.79446,0.00130378,
PXL+INTT fit,4.80646,0.00130378,
PXL+INTT fit,4.81846,0.00130378,
PXL+INTT fit,4.83046,0.00130378,
PXL+INTT fit,4.84246,0.00130378,
PXL+INTT fit,4.85446,0.00130378,
PXL+INTT fit,4.86646,0.00130378,
PXL+INTT fit,4.87846,0.00130378,
PXL+INTT fit,4.89046,0.00130378,
PXL+INTT fit,4.90246,0.00130378,
PXL+INTT fit,4.91446,0.00130378,
PXL+INTT fit,4.92646,0.00130378,
PXL+INTT fit,4.93846,0.00130378,
PXL+INTT fit,4.95046,0.00130378,
PXL+INTT fit,4.96246,0.00130378,
PXL+INTT fit,4.98646,0.00127771,
PXL+INTT fit,4.99846,0.00127771,
3 PXL layers only,0.08699,0.01877445,
3 PXL layers only,0.10699,0.01653194,
3 PXL layers only,0.12699,0.01423729,
3 PXL layers only,0.14699,0.01233377,
3 PXL layers only,0.16699,0.01099087,
3 PXL layers only,0.18699,0.00983051,
3 PXL layers only,0.20699,0.00908735,
3 PXL layers only,0.22699,0.00838331,
3 PXL layers only,0.24699,0.00774446,
3 PXL layers only,0.26699,0.00745763,
3 PXL layers only,0.28699,0.00691004,
3 PXL layers only,0.30699,0.00646675,
3 PXL layers only,0.32699,0.00625815,
3 PXL layers only,0.34699,0.00595828,
3 PXL layers only,0.36699,0.00568449,
3 PXL layers only,0.38699,0.00550196,
3 PXL layers only,0.40699,0.00517601,
3 PXL layers only,0.42699,0.00505867,
3 PXL layers only,0.44699,0.00492829,
3 PXL layers only,0.46699,0.00488918,
3 PXL layers only,0.52699,0.00435463,
3 PXL layers only,0.56699,0.00414602,
3 PXL layers only,0.58699,0.00408083,
3 PXL layers only,0.60699,0.00398957,
3 PXL layers only,0.62699,0.00393742,
3 PXL layers only,0.66699,0.00375489,
3 PXL layers only,0.68699,0.00371578,
3 PXL layers only,0.70699,0.00365059,
3 PXL layers only,0.72699,0.00359844,
3 PXL layers only,0.76699,0.00346806,
3 PXL layers only,0.78699,0.00345502,
3 PXL layers only,0.80699,0.00341591,
3 PXL layers only,0.82699,0.00336375,
3 PXL layers only,0.84699,0.00336375,
3 PXL layers only,0.88699,0.00325945,
3 PXL layers only,0.90699,0.00323338,
3 PXL layers only,0.92699,0.00320730,
3 PXL layers only,0.94699,0.00318123,
3 PXL layers only,0.96699,0.00316819,
3 PXL layers only,1.00699,0.00310300,
3 PXL layers only,1.02699,0.00307692,
3 PXL layers only,1.04699,0.00305085,
3 PXL layers only,1.06699,0.00302477,
3 PXL layers only,1.08699,0.00302477,
3 PXL layers only,1.12699,0.00297262,
3 PXL layers only,1.14699,0.00294654,
3 PXL layers only,1.16699,0.00294654,
3 PXL layers only,1.18699,0.00292047,
3 PXL layers only,1.22699,0.00286832,
3 PXL layers only,1.24699,0.00288136,
3 PXL layers only,1.26699,0.00286832,
3 PXL layers only,1.28699,0.00286832,
3 PXL layers only,1.30699,0.00284224,
3 PXL layers only,1.36699,0.00281617,
3 PXL layers only,1.38699,0.00279009,
3 PXL layers only,1.40699,0.00279009,
3 PXL layers only,1.42699,0.00279009,
3 PXL layers only,1.46699,0.00275098,
3 PXL layers only,1.48699,0.00275098,
3 PXL layers only,1.50699,0.00273794,
3 PXL layers only,1.52699,0.00273794,
3 PXL layers only,1.54699,0.00273794,
3 PXL layers only,1.60699,0.00271186,
3 PXL layers only,1.62699,0.00269883,
3 PXL layers only,1.64699,0.00269883,
3 PXL layers only,1.66699,0.00268579,
3 PXL layers only,1.70699,0.00267275,
3 PXL layers only,1.72699,0.00267275,
3 PXL layers only,1.74699,0.00265971,
3 PXL layers only,1.76699,0.00265971,
3 PXL layers only,1.78699,0.00265971,
3 PXL layers only,1.84699,0.00263364,
3 PXL layers only,1.86699,0.00263364,
3 PXL layers only,1.88699,0.00263364,
3 PXL layers only,1.90699,0.00263364,
3 PXL layers only,1.94699,0.00262060,
3 PXL layers only,1.96699,0.00260756,
3 PXL layers only,1.98699,0.00260756,
3 PXL layers only,2.00699,0.00260756,
3 PXL layers only,2.02699,0.00260756,
3 PXL layers only,2.08699,0.00259452,
3 PXL layers only,2.10699,0.00259452,
3 PXL layers only,2.12699,0.00258149,
3 PXL layers only,2.14699,0.00258149,
3 PXL layers only,2.18699,0.00258149,
3 PXL layers only,2.20699,0.00258149,
3 PXL layers only,2.22699,0.00256845,
3 PXL layers only,2.24699,0.00256845,
3 PXL layers only,2.26699,0.00256845,
3 PXL layers only,2.32699,0.00255541,
3 PXL layers only,2.34699,0.00255541,
3 PXL layers only,2.36699,0.00255541,
3 PXL layers only,2.38699,0.00255541,
3 PXL layers only,2.42699,0.00254237,
3 PXL layers only,2.44699,0.00254237,
3 PXL layers only,2.46699,0.00254237,
3 PXL layers only,2.48699,0.00254237,
3 PXL layers only,2.50699,0.00254237,
3 PXL layers only,2.56699,0.00252934,
3 PXL layers only,2.58699,0.00252934,
3 PXL layers only,2.60699,0.00252934,
3 PXL layers only,2.62699,0.00252934,
