energy,particle,centrality,pt,v2,stat,syst,glob,nq,mass,mt_minus_m0_over_nq,v2_over_nq,stat_over_nq,syst_over_nq,glob_over_nq,source,source_doi,table,table_doi,extraction
3.2,K-,10-40%,1.1,-0.011528,0.011537,0.007149,0.0,2,0.493677,0.3560124310619418,-0.005764,0.0057685,0.0035745,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,1.3,-0.012389,0.02578,0.018382,0.0,2,0.493677,0.44845226297779917,-0.0061945,0.01289,0.009191,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,1.5,-0.111474,0.061803,0.03543,0.0,2,0.493677,0.5427368574436389,-0.055737,0.0309015,0.017715,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,0.35,-0.003182,0.006754,0.0,0.0,2,0.497611,0.05538058914651239,-0.001591,0.003377,0.0,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,0.55,-0.003002,0.005659,0.000114,0.0,2,0.497611,0.12204376429784108,-0.001501,0.0028295,5.7e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,0.75,0.01012,0.005633,0.002724,0.0,2,0.497611,0.20122691753261507,0.00506,0.0028165,0.001362,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,0.95,0.008846,0.007223,0.000981,0.0,2,0.497611,0.28741197158242615,0.004423,0.0036115,0.0004905,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,1.15,0.041015,0.010766,0.005739,0.0,2,0.497611,0.3777159895199126,0.0205075,0.005383,0.0028695,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,K0S,10-40%,1.45,0.067877,0.015352,0.009334,0.0,2,0.497611,0.5176990184669494,0.0339385,0.007676,0.004667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,0.5,-0.004355,0.003719,0.002948,0.0,3,1.115683,0.03563869961396312,-0.0014516666666666669,0.0012396666666666667,0.0009826666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,0.7,-0.009017,0.002521,0.004328,0.0,3,1.115683,0.06713851237401107,-0.003005666666666667,0.0008403333333333332,0.0014426666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
