#: table_doi: 10.17182/hepdata.95903.v1/t1
#: name: Figure 5
#: description: Centrality selection for STAR FXT sqrt(sNN) = 4.5 GeV Au+Au collisions
#: data_file: fig5.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,STAR FXT $\sqrt{s_{NN}}$ = 4.5 GeV
$N_{charged}$,$dN/dN_{charged}$,stat +,stat -
214.5,435.0,20.85665,-20.85665
215.5,404.0,20.09975,-20.09975
216.5,344.0,18.54724,-18.54724
217.5,339.0,18.41195,-18.41195
218.5,276.0,16.61325,-16.61325
219.5,226.0,15.0333,-15.0333
220.5,206.0,14.3527,-14.3527
221.5,173.0,13.15295,-13.15295
222.5,164.0,12.80625,-12.80625
223.5,149.0,12.20656,-12.20656
224.5,137.0,11.7047,-11.7047
225.5,109.0,10.44031,-10.44031
226.5,99.0,9.949874,-9.949874
227.5,87.0,9.327379,-9.327379
228.5,88.0,9.380832,-9.380832
229.5,84.0,9.165151,-9.165151
230.5,61.0,7.81025,-7.81025
231.5,65.0,8.062258,-8.062258
232.5,53.0,7.28011,-7.28011
233.5,43.0,6.557439,-6.557439
234.5,64.0,8.0,-8.0
235.5,46.0,6.78233,-6.78233
236.5,50.0,7.071068,-7.071068
237.5,34.0,5.830952,-5.830952
238.5,31.0,5.567764,-5.567764
239.5,26.0,5.09902,-5.09902
240.5,22.0,4.690416,-4.690416
241.5,26.0,5.09902,-5.09902
242.5,27.0,5.196152,-5.196152
243.5,33.0,5.744563,-5.744563
244.5,40.0,6.324555,-6.324555
245.5,32.0,5.656854,-5.656854
246.5,21.0,4.582576,-4.582576
247.5,34.0,5.830952,-5.830952
248.5,16.0,4.0,-4.0
249.5,23.0,4.795832,-4.795832
250.5,20.0,4.472136,-4.472136
251.5,18.0,4.242641,-4.242641
252.5,28.0,5.291503,-5.291503
253.5,22.0,4.690416,-4.690416
254.5,25.0,5.0,-5.0
255.5,20.0,4.472136,-4.472136
256.5,15.0,3.872983,-3.872983
257.5,25.0,5.0,-5.0
258.5,17.0,4.123106,-4.123106
259.5,23.0,4.795832,-4.795832
260.5,29.0,5.385165,-5.385165
261.5,19.0,4.358899,-4.358899
262.5,22.0,4.690416,-4.690416
263.5,24.0,4.898979,-4.898979
264.5,28.0,5.291503,-5.291503
265.5,11.0,3.316625,-3.316625
266.5,13.0,3.605551,-3.605551
267.5,23.0,4.795832,-4.795832
268.5,16.0,4.0,-4.0
269.5,19.0,4.358899,-4.358899
270.5,8.0,2.828427,-2.828427
271.5,16.0,4.0,-4.0
272.5,17.0,4.123106,-4.123106
273.5,20.0,4.472136,-4.472136
274.5,22.0,4.690416,-4.690416
275.5,9.0,3.0,-3.0
276.5,8.0,2.828427,-2.828427
277.5,17.0,4.123106,-4.123106
278.5,9.0,3.0,-3.0
279.5,15.0,3.872983,-3.872983
280.5,10.0,3.162278,-3.162278
281.5,17.0,4.123106,-4.123106
282.5,11.0,3.316625,-3.316625
283.5,15.0,3.872983,-3.872983
284.5,7.0,2.645751,-2.645751
285.5,12.0,3.464102,-3.464102
286.5,12.0,3.464102,-3.464102
287.5,9.0,3.0,-3.0
288.5,16.0,4.0,-4.0
289.5,7.0,2.645751,-2.645751
290.5,13.0,3.605551,-3.605551
291.5,8.0,2.828427,-2.828427
292.5,7.0,2.645751,-2.645751
293.5,6.0,2.44949,-2.44949
294.5,11.0,3.316625,-3.316625
295.5,7.0,2.645751,-2.645751
296.5,9.0,3.0,-3.0
297.5,8.0,2.828427,-2.828427
298.5,6.0,2.44949,-2.44949
299.5,10.0,3.162278,-3.162278
300.5,3.0,1.732051,-1.732051
301.5,8.0,2.828427,-2.828427
302.5,7.0,2.645751,-2.645751
303.5,5.0,2.236068,-2.236068
304.5,8.0,2.828427,-2.828427
305.5,6.0,2.44949,-2.44949
306.5,7.0,2.645751,-2.645751
307.5,8.0,2.828427,-2.828427
308.5,6.0,2.44949,-2.44949
309.5,8.0,2.828427,-2.828427
310.5,10.0,3.162278,-3.162278
311.5,5.0,2.236068,-2.236068
312.5,6.0,2.44949,-2.44949
313.5,3.0,1.732051,-1.732051
314.5,7.0,2.645751,-2.645751
315.5,4.0,2.0,-2.0
316.5,3.0,1.732051,-1.732051
317.5,7.0,2.645751,-2.645751
318.5,7.0,2.645751,-2.645751
319.5,3.0,1.732051,-1.732051
320.5,3.0,1.732051,-1.732051
321.5,3.0,1.732051,-1.732051
322.5,3.0,1.732051,-1.732051
323.5,3.0,1.732051,-1.732051
324.5,4.0,2.0,-2.0
325.5,2.0,1.414214,-1.414214
326.5,9.0,3.0,-3.0
327.5,3.0,1.732051,-1.732051
328.5,1.0,1.0,-1.0
329.5,5.0,2.236068,-2.236068
330.5,4.0,2.0,-2.0
331.5,4.0,2.0,-2.0
332.5,,0,0
333.5,3.0,1.732051,-1.732051
334.5,5.0,2.236068,-2.236068
335.5,5.0,2.236068,-2.236068
336.5,2.0,1.414214,-1.414214
337.5,2.0,1.414214,-1.414214
338.5,1.0,1.0,-1.0
339.5,1.0,1.0,-1.0
340.5,1.0,1.0,-1.0
341.5,3.0,1.732051,-1.732051
342.5,1.0,1.0,-1.0
343.5,,0,0
344.5,1.0,1.0,-1.0
345.5,,0,0
346.5,1.0,1.0,-1.0
347.5,2.0,1.414214,-1.414214
348.5,3.0,1.732051,-1.732051
349.5,,0,0
350.5,,0,0
351.5,,0,0
352.5,,0,0
353.5,,0,0
354.5,2.0,1.414214,-1.414214
355.5,,0,0
356.5,1.0,1.0,-1.0
357.5,1.0,1.0,-1.0
358.5,,0,0
359.5,,0,0
360.5,,0,0
361.5,3.0,1.732051,-1.732051
362.5,,0,0
363.5,,0,0
364.5,,0,0
365.5,,0,0
366.5,,0,0
367.5,1.0,1.0,-1.0
368.5,1.0,1.0,-1.0
369.5,,0,0
370.5,,0,0
371.5,,0,0
372.5,,0,0
373.5,,0,0
374.5,,0,0
375.5,,0,0
376.5,,0,0
377.5,1.0,1.0,-1.0
378.5,,0,0
379.5,,0,0
380.5,,0,0
381.5,,0,0
382.5,1.0,1.0,-1.0
383.5,,0,0
384.5,,0,0
385.5,,0,0
386.5,,0,0
387.5,,0,0
388.5,,0,0
389.5,,0,0
390.5,,0,0
391.5,,0,0
392.5,,0,0
393.5,,0,0
394.5,,0,0
395.5,1.0,1.0,-1.0
396.5,,0,0
397.5,,0,0
398.5,,0,0
399.5,,0,0

#: Dataset,MC Glauber
$N_{charged}$,$dN/dN_{charged}$,stat +,stat -
0.5,785514.8,937.504,-937.504
1.5,443698.2,704.5953,-704.5953
2.5,290050.6,569.6824,-569.6824
3.5,211673.8,486.6643,-486.6643
4.5,166052.8,431.0415,-431.0415
5.5,138529.0,393.7007,-393.7007
6.5,119870.2,366.2279,-366.2279
7.5,105671.3,343.8543,-343.8543
8.5,94386.06,324.9749,-324.9749
9.5,85565.76,309.4183,-309.4183
10.5,78555.84,296.473,-296.473
11.5,72816.99,285.4383,-285.4383
12.5,68094.11,276.0265,-276.0265
13.5,64339.08,268.3078,-268.3078
14.5,60525.86,260.2354,-260.2354
15.5,56522.43,251.4817,-251.4817
16.5,53937.77,245.6645,-245.6645
17.5,51861.09,240.8889,-240.8889
18.5,49137.68,234.4786,-234.4786
19.5,47775.98,231.2069,-231.2069
20.5,45092.85,224.6207,-224.6207
21.5,43876.6,221.5708,-221.5708
22.5,42447.77,217.9332,-217.9332
23.5,41097.25,214.4383,-214.4383
24.5,39654.99,210.6419,-210.6419
25.5,38315.66,207.0542,-207.0542
26.5,37225.85,204.0884,-204.0884
27.5,35984.99,200.6581,-200.6581
28.5,35347.22,198.872,-198.872
29.5,34536.01,196.5767,-196.5767
30.5,33316.41,193.0746,-193.0746
31.5,32676.4,191.2111,-191.2111
32.5,31596.66,188.0254,-188.0254
33.5,31007.0,186.2627,-186.2627
34.5,29870.2,182.8163,-182.8163
35.5,29306.27,181.0824,-181.0824
36.5,28885.56,179.7779,-179.7779
37.5,28366.39,178.155,-178.155
38.5,27838.27,176.4888,-176.4888
39.5,26886.08,173.4442,-173.4442
40.5,26507.9,172.22,-172.22
41.5,26100.62,170.8918,-170.8918
42.5,25442.7,168.7243,-168.7243
43.5,25217.8,167.9769,-167.9769
44.5,24986.19,167.2037,-167.2037
45.5,23881.83,163.4669,-163.4669
46.5,23736.38,162.9683,-162.9683
47.5,23174.69,161.0286,-161.0286
48.5,23118.74,160.8341,-160.8341
49.5,22563.77,158.8919,-158.8919
50.5,22435.09,158.4382,-158.4382
51.5,21948.37,156.7101,-156.7101
