index,title,star_url,journal_raw,journal,year
344,Elliptic Flow of Heavy-Flavor Decay Electrons in Au+Au Collisions at sqrt(sNN) = 27 and 54.4 GeV at RHIC,https://drupal.star.bnl.gov/STAR/publications/Elliptic-Flow-Heavy-Flavor-Decay-Electrons-AuAu-Collisions-sqrtsNN-27-and-544-GeV-RHIC,PLB 2023,PLB,2023
342,Collision-energy Dependence of Deuteron Cumulants and Proton-deuteron Correlations in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Collision-energy-Dependence-Deuteron-Cumulants-and-Proton-deuteron-Correlations-AuAu-co,PLB 2024,PLB,2024
340,Global polarization of Λ and Λ ̄ hyperons in Au+Au collisions at √sNN = 19.6 and 27 GeV,https://drupal.star.bnl.gov/STAR/publications/Global-polarization-Lambda-and-Lambdabar-hyperons-AuAu-collisions-sqrtsNN-196-and-27-Ge,PRC 2023,PRC,2023
337,Observation of the electromagnetic field effect via charge-dependent directed flow in heavy-ion collisions at the Relativistic Heavy Ion Collider,https://drupal.star.bnl.gov/STAR/publications/Observation-electromagnetic-field-effect-charge-dependent-directed-flow-heavy-ion-colli,PRX 2024,PRX,2024
,Electric charge and strangeness-dependent directed flow splitting of produced quarks in Au+Au collisions,https://drupal.star.bnl.gov/STAR/publications/Electric-charge-and-strangeness-dependent-directed-flow-splitting-produced-quarks-AuAu-,PLB 2025,PLB,2025
336,Energy Dependence of Intermittency for Charged Hadrons in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Energy-Dependence-Intermittency-Charged-Hadrons-AuAu-Collisions-RHIC,PLB 2023,PLB,2023
334,First Observation of Directed Flow of Hypernuclei H3L and H4L in √sNN=3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/First-Observation-Directed-Flow-Hypernuclei-H3L-and-H4L-sqrtsNN-3-GeV-AuAu-Collisions-0,PRL 2023,PRL,2023
331,"K0 production in Au+Au collisions at sqrt{sNN} = 7.7, 11.5, 14.5, 19.6, 27 and 39 GeV from RHIC beam energy scan",https://drupal.star.bnl.gov/STAR/publications/K0-production-AuAu-collisions-sqrtsNN-77-115-145-196-27-and-39-GeV-RHIC-beam-energy-sca,PRC 2023,PRC,2023
330,Beam Energy Dependence of Triton Production and Yield Ratio (NtNp/N2d) in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Beam-Energy-Dependence-Triton-Production-and-Yield-Ratio-NtNpN2d-AuAu-Collisions-RHIC,PRL 2023,PRL,2023
327,Measurement of H4L and He4L binding energy in Au+Au collisions at √sNN = 3GeV,https://drupal.star.bnl.gov/STAR/publications/Measurement-H4L-and-He4L-binding-energy-AuAu-collisions-sqrtsNN-3GeV,PLB 2022,PLB,2022
326,Beam Energy Dependence of Fifth and Sixth-Order Net-proton Number Fluctuations in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Beam-Energy-Dependence-Fifth-and-Sixth-Order-Net-proton-Number-Fluctuations-AuAu-Collis,PRL 2023,PRL,2023
325,Azimuthal anisotropy measurement of (multi)strange hadrons in Au+Au collisions at sqrt(s_NN) = 54.4 GeV,https://drupal.star.bnl.gov/STAR/publications/Azimuthal-anisotropy-measurement-multistrange-hadrons-AuAu-collisions-sqrtsNN-544-GeV,PRC 2023,PRC,2023
321,Measurements of H3L and H4L Lifetimes and Yields in Au+Au Collisions in the High Baryon Density Region,https://drupal.star.bnl.gov/STAR/publications/measurements-h3l-and-h4l-lifetimes-and-yields-auau-collisions-high-baryon-density-regio,PRL 2022,PRL,2022
320,Higher-order cumulants and correlation functions of proton multiplicity distributions in $\sqrt{s_{NN}}$ = 3 GeV Au+Au collisions at the RHIC STAR experiment,https://drupal.star.bnl.gov/STAR/publications/Higher-Order-Cumulants-and-Correlation-Functions-Proton-Multiplicity-Distributions-sqrt,PRC 2023,PRC,2023
319,Measurements of Proton High Order Cumulants in sqrt{s_NN} = 3 GeV Au+Au Collisions and Implications for the QCD Critical Point,https://drupal.star.bnl.gov/STAR/publications/Measurements-Proton-High-Order-Cumulants-sqrtsNN-3-GeV-AuAu-Collisions-and-Implications,PRL 2022,PRL,2022
316,Light Nuclei Collectivity from sqrt{s_NN} = 3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Light-Nuclei-Collectivity-3-GeV-AuAu-Collisions-RHIC,PLB 2022,PLB,2022
315,Beam energy dependence of the linear and mode-coupled flow harmonics in Au+Au collisions,https://drupal.star.bnl.gov/STAR/publications/Beam-energy-dependence-linear-and-mode-coupled-flow-harmonics-AuAu-collisions,PLB 2023,PLB,2023
314,Global Lambda-hyperon polarization in Au+Au collisions at sqrt{sNN} =3 GeV,https://drupal.star.bnl.gov/STAR/publications/global-lambda-hyperon-polarization-auau-collisions-sqrtsnn-3-gev,PRC-L 2021,PRC-L,2021
311,Disappearance of partonic collectivity in 3 GeV Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/disappearance-partonic-collectivity-3-gev-auau-collisions-rhic,PLB 2022,PLB,2022
310,"Probing Strangeness Canonical Ensemble with K-, phi(1020) and Xi- Production in Au+Au Collisions at sqrt{s_NN} = 3 GeV",https://drupal.star.bnl.gov/STAR/publications/probing-strangeness-canonical-ensemble-k-phi1020-and-xi-production-auau-collisions-sqrt,PLB 2022,PLB,2022
308,Search for the Chiral Magnetic Effect in Au+Au collisions at sqrt{sNN} = 27 GeV with the STAR forward Event Plane Detectors,https://drupal.star.bnl.gov/STAR/publications/Search-Chiral-Magnetic-Effect-AuAu-collisions-sqrtsNN-27-GeV-STAR-forward-Event-Plane-D,PLB 2023,PLB,2023
303,Collision-system and beam-energy dependence of anisotropic flow fluctuations,https://drupal.star.bnl.gov/STAR/publications/Collision-system-and-beam-energy-dependence-anisotropic-flow-fluctuations,PRL 2022,PRL,2022
298,Observation of Global Spin Alignment of phi and K*0 Vector Mesons in Nuclear Collisions,https://drupal.star.bnl.gov/STAR/publications/Observation-Global-Spin-Alignment-phi-and-K0-Vector-Mesons-Nuclear-Collisions,Nature 2023,Nature,2023
293,Beam-energy dependence of the directed flow of deuterons in Au+Au collisions,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-directed-flow-deuterons-auau-collisions,PRC 2020,PRC,2020
287,"Measurement of the Sixth-Order Cumulant of Net-Proton Multiplicity Distributions in Au+Au Collisions at sqrt{sNN} = 27 , 54.4, and 200 GeV at RHIC",https://drupal.star.bnl.gov/STAR/publications/measurement-sixth-order-cumulant-net-proton-multiplicity-distributions-27-544-and-200-g,PRL 2021,PRL,2021
285,"Cumulants and correlation functions of net-proton, proton, and antiproton multiplicity distributions in Au+Au collisions at energies available at the BNL Relativistic Heavy Ion Collider",https://drupal.star.bnl.gov/STAR/publications/cumulants-and-correlation-functions-net-proton-proton-and-antiproton-multiplicity-distr,PRC 2021,PRC,2021
284,Nonmonotonic Energy Dependence of Net-Proton Number Fluctuations,https://drupal.star.bnl.gov/STAR/publications/nonmonotonic-energy-dependence-net-proton-number-fluctuations,PRL 2021,PRL,2021
273,Flow and interferometry results from Au+Au collisions at sqrt{sNN} = 4.5 GeV,https://drupal.star.bnl.gov/STAR/publications/flow-and-interferometry-results-auau-collisions-sqrtsnn-45-gev,PRC 2021,PRC,2021
272,Beam energy dependence of net-Lambda fluctuations measured by the STAR experiment at the BNL Relativistic Heavy Ion Collider,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-net-lambda-fluctuations-measured-star-experiment-bnl-relativisti,PRC 2020,PRC,2020
265,Beam-energy dependence of identified two-particle angular correlations in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-identified-two-particle-angular-correlations-auau-collisions-rhi,PRC 2020,PRC,2020
264,Beam energy dependence of (anti-)deuteron production in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-anti-deuteron-production-auau-collisions-rhic,PRC 2019,PRC,2019
263,"Collision energy dependence of second-order off-diagonal and diagonal cumulants of net-charge, net-proton and net-kaon multiplicity distributions in Au+Au collisions",https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-second-order-diagonal-and-diagonal-cumulants-net-charge-net,PRC 2019,PRC,2019
261,Bulk Properties of the System Formed in Au+Au Collisions at sqrt(sNN) = 14.5 GeV,https://drupal.star.bnl.gov/STAR/publications/bulk-properties-system-formed-auau-collisions-sqrtsnn-145-gev,PRC 2020,PRC,2020
257,Collision-energy Dependence of pt Correlations in Au + Au collisions at energies available at the BNL Relativistic Heavy Ion Collider,https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-pt-correlations-auau-collisions-rhic,PRC 2019,PRC,2019
256,Search for the chiral magnetic wave using anisotropic flow of identified particles at RHIC,https://drupal.star.bnl.gov/STAR/publications/Search-chiral-magnetic-wave-using-anisotropic-flow-identified-particles-RHIC,PRC 2023,PRC,2023
241,Beam Energy Dependence of Rapidity-Even Dipolar Flow in Au+Au Collisions,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-rapidity-even-dipolar-flow-auau-collisions,PLB 2018,PLB,2018
237,"Strange hadron production in Au+Au collisions at sqrt(sNN)=7.7, 11.5, 19.6, 27, and 39 GeV",https://drupal.star.bnl.gov/STAR/publications/strange-hadron-production-auau-collisions-sqrtsnn-77-115-196-27-and-39-gev,PRC 2020,PRC,2020
233,"Beam-Energy Dependence of Directed Flow of Lambda, Anti-Lambda, K plus, K minus, K0 short and phi in Au+Au Collisions",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-directed-flow-lambda-anti-lambda-k-plus-k-minus-k0-short-and-phi,PRL 2018,PRL,2018
232,Collision energy dependence of moments of net-kaon multiplicity distributions at RHIC,https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-moments-net-kaon-multiplicity-distributions-rhic,PLB 2018,PLB,2018
230,"Beam Energy Dependence of Jet-Quenching Effects in Au+Au Collisions at sqrt(sNN) = 7.7, 11.5, 14.5, 19.6, 27, 39, and 62.4 GeV",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-jet-quenching-effects-auau-collisions-sqrtsnn-77-115-145-196-27-,PRL 2018,PRL,2018
228,Global Λ hyperon polarization in nuclear collisions: evidence for the most vortical fluid,https://drupal.star.bnl.gov/STAR/publications/global-lambda-hyperon-polarization-nuclear-collisions-evidence-most-vortical-fluid,Nature 2017,Nature,2017
227,"Measurements of Dielectron Production in Au+Au Collisions at sqrt(sNN)= 27, 39, and 62.4 GeV from the STAR Experiment",https://drupal.star.bnl.gov/STAR/publications/measurements-dielectron-production-auau-collisions-sqrtsnn-27-39-and-624-gev-star-exper,PRC 2023,PRC,2023
218,"Energy dependence of J/psi production in Au+Au collisions at sqrt(sNN)=39, 62.4 and 200GeV",https://drupal.star.bnl.gov/STAR/publications/energy-dependence-jpsi-production-auau-collisions-sqrtsnn-39-624-and-200-gev,PLB 2017,PLB,2017
213,Beam Energy Dependence of the Third Harmonic of Azimuthal Correlations in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-third-harmonic-azimuthal-correlations-auau-collisions-rhic,PRL 2016,PRL,2016
212,Centrality dependence of identified particle elliptic flow in relativistic heavy ion collisions at sqrt(sNN)= 7.7-62.4 GeV,https://drupal.star.bnl.gov/STAR/publications/centrality-dependence-identified-particle-elliptic-flow-relativistic-heavy-ion-collisio,PRC 2016,PRC,2016
208,"Measurement of elliptic flow of light nuclei at sqrt(sNN) = 200, 62.4, 39, 27, 19.6, 11.5, and 7.7 GeV at RHIC",https://drupal.star.bnl.gov/STAR/publications/measurement-elliptic-flow-light-nuclei-sqrtsnn-200-624-39-27-196-115-and-77-gev-rhic,PRC 2016,PRC,2016
207,Bulk Properties of the Medium Produced in Relativistic Heavy-Ion Collisions from the Beam Energy Scan Program,https://drupal.star.bnl.gov/STAR/publications/bulk-properties-medium-produced-relativistic-heavy-ion-collisions-beam-energy-scan-prog,PRC 2017,PRC,2017
200,Beam-Energy Dependence of Charge Balance Functions from Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-charge-balance-functions-auau-collisions-rhic,PRC 2016,PRC,2016
197,Energy dependence of acceptance-corrected dielectron excess mass spectrum at mid-rapidity in Au+Au collisions at $\sqrt{s_{NN}} = 19.6$ and 200 GeV,https://drupal.star.bnl.gov/STAR/publications/energy-dependence-acceptance-corrected-dielectron-excess-mass-spectrum-mid-rapidity-auau-collisions-sqrtsnn-196-and,PLB 2015,PLB,2015
191,Beam-energy dependence of charge separation along the magnetic field in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-charge-separation-along-magnetic-%EF%AC%81eld-auau-collisions-rhic,PRL 2014,PRL,2014
188,Probing Parton Dynamics of QCD Matter with Omega and Phi Production,https://drupal.star.bnl.gov/STAR/publications/probing-parton-dynamics-qcd-matter-omega-and-phi-production,PRC 2016,PRC,2016
185,"K/pi, p/pi, and K/p Fluctuations in Au+Au Collisions from sqrt(sNN) = 7.7 to 200 GeV",https://drupal.star.bnl.gov/STAR/publications/energy-dependence-kpi-ppi-and-kp-fluctuations-auau-collisions-sqrt_snn-77-200-gev,PRC 2015,PRC,2015
180,Beam energy dependent two-pion interferometry and the freeze-out eccentricity of pions in heavy ion collisions at STAR,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependent-two-pion-interferometry-and-freeze-out-eccentricity-pions-heavy-ion-collisions-star,PRC 2015,PRC,2015
175,"Beam-Energy Dependence of Directed Flow of Protons, Antiprotons and Pions in Au+Au Collisions",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-directed-flow-protons-antiprotons-and-pions-auau-collisions,PRL 2014,PRL,2014
174,"Elliptic flow of non-photonic electrons in Au+Au collisions at $\sqrt{s_{\rm NN}} = $ 200, 62.4 and 39 GeV",https://drupal.star.bnl.gov/STAR/publications/elliptic-flow-non-photonic-electrons-auau-collisions-snn%E2%80%BE%E2%80%BE%E2%80%BE%E2%80%BE%E2%88%9A-200-624-and-39-gev,PRC 2017,PRC,2017
173,Beam energy dependence of moments of the net-charge multiplicity distributions in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-moments-net-charge-multiplicity-distributions-auau-collisions-rhic,PRL 2014,PRL,2014
171,Energy dependence of moments of net-proton multiplicity distributions at RHIC,https://drupal.star.bnl.gov/STAR/publications/energy-dependence-moments-net-proton-multiplicity-distributions-rhic,PRL 2013,PRL,2013
168,Elliptic flow of identified hadrons in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7 - 62.4 GeV,https://drupal.star.bnl.gov/STAR/publications/elliptic-flow-identified-hadrons-auau-collisions-sqrtsnn-77-624-gev,PRC 2013,PRC,2013
167,Observation of an energy-dependent difference in elliptic flow between particles and anti-particles in relativistic heavy ion collisions,http://drupal.star.bnl.gov/STAR/publications/observation-energy-dependent-difference-elliptic-flow-between-particles-and-antiparticles-relativistic-heavy-ion-co,PRL 2013,PRL,2013
157,Inclusive charged hadron elliptic flow in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7 - 39 GeV,http://drupal.star.bnl.gov/STAR/publications/inclusive-charged-hadron-elliptic-flow-au-au-collisions-sqrtsnn-77-39-gev,PRC 2012,PRC,2012
34,Identified particle distributions in pp and Au+Au collisions at $\sqrt{s_{NN}}$=200 GeV,http://drupal.star.bnl.gov/STAR/publications/identified-particle-distributions-pp-and-au-au-collisions-sqrt-s-sub-nn-sub-200-gev,PRL 2004,PRL,2004
43,Phi meson production in Au+Au and p+p collisions at $\sqrt{s_{NN}}$ =200 GeV,http://drupal.star.bnl.gov/STAR/publications/phi-meson-production-au-au-and-p-p-collisions-sqrt-s-200-gev,PLB 2005,PLB,2005
137,Strangeness Enhancement in Cu+Cu and Au+Au \sqrt{s_{NN}} 200 GeV Collisions,http://drupal.star.bnl.gov/STAR/publications/strangeness-enhancement-cucu-and-auau-sqrtsnn-200-gev-collisions,PRL 2012,PRL,2012
