energy_GeV,particle,data_yield,data_err,data_source,gc_effective_yield,sce_blended_yield,note
62.4,pi-,237.0,17,arXiv:0808.2041/Table VIII,202.969884,,table gives total uncertainty (stat+sys)
62.4,K+,37.6,2.7,arXiv:0808.2041/Table VIII,41.262640,,table gives total uncertainty (stat+sys)
62.4,K-,32.4,2.3,arXiv:0808.2041/Table VIII,35.813748,,table gives total uncertainty (stat+sys)
62.4,p,29.0,3.8,arXiv:0808.2041/Table VIII,24.957306,,table gives total uncertainty (stat+sys)
62.4,pbar,13.6,1.7,arXiv:0808.2041/Table VIII,10.653640,,table gives total uncertainty (stat+sys)
62.4,Ks0,26.7,0.6,ins871561/Figure6 up,37.543340,,Direct STAR K0S yield from HEPData t12; RHIC points are centrality 0-5% per table description.
62.4,Lambda,15.576031,2.306688,ins871561/Figure9 (ratio-derived absolute yield),12.216119,,Derived via STAR Fig.9 ratios Lambda_bar/Pi- and Lambda_bar/Lambda (0-5%) with local pi- (0-5%); uncertainty propagated.
62.4,Lambda_bar,7.2522,1.0400425,ins871561/Figure9 (ratio-derived absolute yield),6.317052,,Derived from STAR Fig.9 ratio Lambda_bar/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
62.4,Xi,1.7397156,0.30642213,ins871561/Figure9 (ratio-derived absolute yield),1.790693,,Derived via STAR Fig.9 ratios Xi+/Pi- and Xi+/Xi- (0-5%) with local pi- (0-5%); uncertainty propagated.
62.4,Xi_bar,1.1376,0.18488204,ins871561/Figure9 (ratio-derived absolute yield),1.114435,,Derived from STAR Fig.9 ratio Xi+/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
62.4,phi,,,,5.197350,,model-only point
130,pi+,278.0,20,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,pi-,280.0,20,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,K+,46.3,3,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,K-,42.7,2.8,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,p,28.2,3.1,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,pbar,20.0,2.2,arXiv:0808.2041/Table VIII,,,table gives total uncertainty (stat+sys)
130,Xi,2.16,0.234,arXiv:nucl-ex/0307024/Table I,,,includes 10% pT-independent systematic per paper
130,Xi_bar,1.81,0.1978913844,arXiv:nucl-ex/0307024/Table I,,,includes 10% pT-independent systematic per paper
200,pi+,322.0,25,arXiv:0808.2041/Table VIII,303.204871,,table gives total uncertainty (stat+sys)
200,pi-,327.0,25,arXiv:0808.2041/Table VIII,303.176095,,table gives total uncertainty (stat+sys)
200,K+,51.3,6.5,arXiv:0808.2041/Table VIII,59.322455,,table gives total uncertainty (stat+sys)
200,K-,49.5,6.2,arXiv:0808.2041/Table VIII,56.174097,,table gives total uncertainty (stat+sys)
200,p,34.7,4.4,arXiv:0808.2041/Table VIII,29.106062,,table gives total uncertainty (stat+sys)
200,pbar,26.7,3.4,arXiv:0808.2041/Table VIII,21.124229,,table gives total uncertainty (stat+sys)
200,Ks0,38.3,1.6,ins871561/Figure6 up,56.254083,,Direct STAR K0S yield from HEPData t12; RHIC points are centrality 0-5% per table description.
200,Lambda,16.7,1.118033989,arXiv:nucl-ex/0606014/Table I,15.127377,,
200,Lambda_bar,12.7,0.9219544457,arXiv:nucl-ex/0606014/Table I,11.816983,,
200,Xi,2.17,0.1992485885,arXiv:nucl-ex/0606014/Table I,2.351846,,
200,Xi_bar,1.83,0.2061552813,arXiv:nucl-ex/0606014/Table I,1.972430,,
200,phi,7.7,0.9013878189,ins651461/Table 1,7.855488,,
