energy_GeV,particle,data_yield,data_err,gc_model_yield,gc_model_err_low,gc_model_err_high,sce_blended_model_yield,sce_blended_model_err_low,sce_blended_model_err_high,data_source,model_source,note
11.5,Xi,1.35,0.1118033989,1.2863678501e+00,0.2449488136,0.2676387547,,,,ins1738953/Xi- dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
11.5,Xi_bar,0.169,0.01456021978,1.4709278129e-01,0.03147399405,0.03557722955,,,,ins1738953/AntiXi+ dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
11.5,phi,1.72,0.2630589288,1.9860603520e+00,0.3200794872,0.3428229352,,,,ins1738953/Phi dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
11.5693,K+,,,2.4440283708e+01,3.405983325,3.554547114,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,K-,,,1.2347717956e+01,1.927988225,2.063003315,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,Ks0,,,1.7943904906e+01,2.565646637,2.70337984,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,Lambda,,,1.2960959418e+01,2.244754585,2.420434425,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,Lambda_bar,,,6.2891169741e-01,0.1308980839,0.1483563065,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,Xi,,,1.2884153386e+00,0.244781065,0.267494992,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,Xi_bar,,,1.4897179426e-01,0.03179646892,0.03594089817,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5693,phi,,,1.9970794861e+00,0.321014886,0.3438588434,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,K+,,,2.5070489595e+01,3.380471828,3.531447646,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,K-,,,1.3183252917e+01,1.98581632,2.123726309,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,Ks0,,,1.8655832255e+01,2.580706387,2.721228903,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,Lambda,,,1.2815123820e+01,2.158127398,2.328715573,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,Lambda_bar,,,7.3932273382e-01,0.1487265438,0.1680891239,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,Xi,,,1.3124806063e+00,0.2422168107,0.2646500333,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,Xi_bar,,,1.7148175968e-01,0.03541587406,0.03992947486,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
12.3816,phi,,,2.1243013188e+00,0.3301207669,0.3534532457,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,K+,,,2.5726424179e+01,3.349127979,3.495086183,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,K-,,,1.4055975609e+01,2.032475422,2.166784484,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,Ks0,,,1.9398483854e+01,2.586316519,2.722733922,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,Lambda,,,1.2696548049e+01,2.067839098,2.22656883,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,Lambda_bar,,,8.6363760503e-01,0.1665080158,0.1869773954,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,Xi,,,1.3376338021e+00,0.2384749667,0.25974297,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,Xi_bar,,,1.9634863892e-01,0.0389440718,0.04363872493,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
13.251,phi,,,2.2557531976e+00,0.3366831626,0.3593960027,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,K+,,,2.6398149541e+01,3.316053786,3.451387853,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,K-,,,1.4958187559e+01,2.070760918,2.196408941,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,Ks0,,,2.0163271219e+01,2.586168746,2.713178861,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,Lambda,,,1.2596760215e+01,1.976725027,2.11930508,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,Lambda_bar,,,1.0019438311e+00,0.1840340017,0.2048099569,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,Xi,,,1.3630758875e+00,0.2338550185,0.2533504529,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,Xi_bar,,,2.2350157367e-01,0.04234620864,0.04704396748,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
14.1813,phi,,,2.3901344538e+00,0.3412314034,0.3624647333,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,K+,,,2.7077466645e+01,3.28739364,3.408726736,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,K-,,,1.5882662368e+01,2.10534536,2.219097323,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,Ks0,,,2.0942685040e+01,2.58587962,2.700165005,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,Lambda,,,1.2509459548e+01,1.888730621,2.013315655,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,Lambda_bar,,,1.1540774212e+00,0.2013402564,0.2217346143,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,Xi,,,1.3881826523e+00,0.2288279127,0.2462407226,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,Xi_bar,,,2.5282816874e-01,0.04564074212,0.05019798235,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
15.177,phi,,,2.5262517991e+00,0.3446242046,0.3638283461,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,K+,,,2.7757783347e+01,3.26985579,3.375929532,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,K-,,,1.6822763041e+01,2.141918028,2.242355699,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,Ks0,,,2.1730286407e+01,2.591846887,2.692026307,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,Lambda,,,1.2430092233e+01,1.807906612,1.914658973,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,Lambda_bar,,,1.3196369881e+00,0.2187212154,0.2382343692,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,Xi,,,1.4124852467e+00,0.2239239553,0.2392034435,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,Xi_bar,,,2.8418041476e-01,0.04889699758,0.05321796578,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
16.2426,phi,,,2.6630399183e+00,0.3479008437,0.3648327401,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,K+,,,2.8433974166e+01,3.269529541,3.360898627,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,K-,,,1.7772538203e+01,2.186338415,2.273658507,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,Ks0,,,2.2520684245e+01,2.610241381,2.696634746,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,Lambda,,,1.2355496912e+01,1.737769908,1.828311622,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,Lambda_bar,,,1.4980102798e+00,0.2367129774,0.2550756973,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,Xi,,,1.4356510963e+00,0.2196511022,0.2329453016,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,Xi_bar,,,3.1738222936e-01,0.05222708871,0.05626872685,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
17.383,phi,,,2.7995758186e+00,0.3521367245,0.3668252639,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,K+,,,2.9102323762e+01,3.29106098,3.369498566,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,K-,,,1.8726842769e+01,2.243853262,2.319437042,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,Ks0,,,2.3309565929e+01,2.646189433,2.720324631,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,Lambda,,,1.2283653616e+01,1.680907775,1.757713329,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,Lambda_bar,,,1.6884134372e+00,0.2560353528,0.2732093742,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,Xi,,,1.4574701841e+00,0.2164349109,0.2280172129,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,Xi_bar,,,3.5223867610e-01,0.05577126251,0.05953904645,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
18.6035,phi,,,2.9350950349e+00,0.3583068303,0.3709825257,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.6,K+,29.5581,2.974592039,2.9609311681e+01,3.324162857,3.394333749,,,,"ins1510593/dN/dy, 19.6 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
19.6,K-,18.8266,1.893101762,1.9460999835e+01,2.299478695,2.367472346,,,,"ins1510593/dN/dy, 19.6 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
19.6,Ks0,20.89,0.6747592163,2.3913031232e+01,2.687946994,2.75418942,,,,ins1738953/K0S dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.6,Lambda,12.58,0.4617358552,1.2229531322e+01,1.647118022,1.715289916,,,,ins1738953/Lambda dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.6,Lambda_bar,1.858,0.09940824915,1.8424370354e+00,0.272298398,0.2886628229,,,,ins1738953/AntiLambda dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.6,Xi,1.62,0.1019803903,1.4732609848e+00,0.2148702142,0.2253633589,,,,ins1738953/Xi- dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.6,Xi_bar,0.421,0.03041381265,3.8003847648e-01,0.05873436058,0.06232055439,,,,ins1738953/AntiXi+ dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.6,phi,2.57,0.3522782991,3.0382248912e+00,0.3648415779,0.3762119825,,,,ins1738953/Phi dN/dy 19.6 GeV,THERMUS GCE parametrized fit,
19.9097,K+,,,2.9760309573e+01,3.336995614,3.405005814,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,K-,,,1.9681338665e+01,2.318333048,2.384330923,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,Ks0,,,2.4093591370e+01,2.70303971,2.7672123,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,Lambda,,,1.2213403866e+01,1.638690471,1.704605211,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,Lambda_bar,,,1.8899301511e+00,0.2774833895,0.2936361217,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,Xi,,,1.4778333855e+00,0.2145688527,0.2247755665,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,Xi_bar,,,3.8854407253e-01,0.05967562101,0.06321466585,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
19.9097,phi,,,3.0689872524e+00,0.3671495733,0.3781761565,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,K+,,,3.0406510489e+01,3.407671142,3.468046582,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,K-,,,2.0632538867e+01,2.411856613,2.470785779,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,Ks0,,,2.4870369926e+01,2.782082328,2.838934799,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,Lambda,,,1.2144272006e+01,1.611228417,1.66910061,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,Lambda_bar,,,2.1015574231e+00,0.3017983856,0.3172577497,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,Xi,,,1.4967181007e+00,0.2141926923,0.2233737461,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
21.3076,Xi_bar,,,4.2609066884e-01,0.06406861855,0.06745209172,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
