energy_GeV,particle,data_yield,data_err,gc_effective_model_yield,sce_blended_model_yield,data_source,model_source,note
39,Lambda_bar,3.82,0.3601388621,3.873721,,ins1738953/AntiLambda dN/dy 39 GeV,THERMUS SCE endpoint-interpolated,
39,Xi,1.54,0.1902629759,1.476480,,ins1738953/Xi- dN/dy 39 GeV,THERMUS SCE endpoint-interpolated,
39,Xi_bar,0.78,0.1104536102,0.707833,,ins1738953/AntiXi+ dN/dy 39 GeV,THERMUS SCE endpoint-interpolated,
39,phi,3.38,0.4809365863,3.922773,,ins1738953/Phi dN/dy 39 GeV,THERMUS SCE endpoint-interpolated,
62.4,K+,37.6,2.7,41.263929,,arXiv:0808.2041/Table VIII,THERMUS SCE endpoint-interpolated,table gives total uncertainty (stat+sys)
62.4,K-,32.4,2.3,35.474782,,arXiv:0808.2041/Table VIII,THERMUS SCE endpoint-interpolated,table gives total uncertainty (stat+sys)
62.4,Ks0,,,37.413562,,data/thermus_fit_predictions_full/prediction_points/sqrts_62p4GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
62.4,Lambda,15.576031,2.306688,14.716615,,ins871561/Figure9 (ratio-derived absolute yield),THERMUS SCE endpoint-interpolated,Derived via STAR Fig.9 ratios Lambda_bar/Pi- and Lambda_bar/Lambda (0-5%) with local pi- (0-5%); uncertainty propagated.
62.4,Lambda_bar,7.2522,1.0400425,8.394464,,ins871561/Figure9 (ratio-derived absolute yield),THERMUS SCE endpoint-interpolated,Derived from STAR Fig.9 ratio Lambda_bar/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
62.4,Xi,1.7397156,0.30642213,2.194037,,ins871561/Figure9 (ratio-derived absolute yield),THERMUS GC fit,Derived via STAR Fig.9 ratios Xi+/Pi- and Xi+/Xi- (0-5%) with local pi- (0-5%); uncertainty propagated.
62.4,Xi_bar,1.1376,0.18488204,1.547765,,ins871561/Figure9 (ratio-derived absolute yield),THERMUS GC fit,Derived from STAR Fig.9 ratio Xi+/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
62.4,phi,,,5.473013,,data/thermus_fit_predictions_full/prediction_points/sqrts_62p4GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
130,K+,46.3,3,,,arXiv:0808.2041/Table VIII,,table gives total uncertainty (stat+sys)
130,K-,42.7,2.8,,,arXiv:0808.2041/Table VIII,,table gives total uncertainty (stat+sys)
130,Xi,2.16,0.234,,,arXiv:nucl-ex/0307024/Table I,,includes 10% pT-independent systematic per paper
130,Xi_bar,1.81,0.1978913844,,,arXiv:nucl-ex/0307024/Table I,,includes 10% pT-independent systematic per paper
200,K+,51.3,6.5,59.322455,,arXiv:0808.2041/Table VIII,THERMUS SCE endpoint-interpolated,table gives total uncertainty (stat+sys)
200,K-,49.5,6.2,56.174097,,arXiv:0808.2041/Table VIII,THERMUS SCE endpoint-interpolated,table gives total uncertainty (stat+sys)
200,Ks0,,,56.254083,,data/thermus_fit_predictions_full/prediction_points/sqrts_200p0GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
200,Lambda,16.7,1.118033989,15.127377,,arXiv:nucl-ex/0606014/Table I,THERMUS SCE endpoint-interpolated,
200,Lambda_bar,12.7,0.9219544457,11.816983,,arXiv:nucl-ex/0606014/Table I,THERMUS SCE endpoint-interpolated,
200,Xi,2.17,0.1992485885,2.351846,,arXiv:nucl-ex/0606014/Table I,THERMUS SCE endpoint-interpolated,
200,Xi_bar,1.83,0.2061552813,1.972430,,arXiv:nucl-ex/0606014/Table I,THERMUS SCE endpoint-interpolated,
200,phi,7.7,0.9013878189,7.855488,,ins651461/Table 1,THERMUS GC fit,
