index,title,star_url,journal_raw,journal,year,reference,status,journal_link,journal_link_text,hepdata_link,arxiv_id,arxiv_abs_link,inspire_id,fetch_error
237,"Strange hadron production in Au+Au collisions at sqrt(sNN)=7.7, 11.5, 19.6, 27, and 39 GeV",https://drupal.star.bnl.gov/STAR/publications/strange-hadron-production-auau-collisions-sqrtsnn-77-115-196-27-and-39-gev,PRC 2020,PRC,2020,Phys. Rev. C 102 (2020) 34909,published,http://link.aps.org/abstract/PRC/V102/P034909,Phys. Rev. C server,https://www.hepdata.net/record/ins1738953,1906.03732,http://arxiv.org/abs/1906.03732,,
233,"Beam-Energy Dependence of Directed Flow of Lambda, Anti-Lambda, K plus, K minus, K0 short and phi in Au+Au Collisions",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-directed-flow-lambda-anti-lambda-k-plus-k-minus-k0-short-and-phi,PRL 2018,PRL,2018,Phys. Rev. Lett. 120 (2018) 62301,published,http://link.aps.org/abstract/PRL/V120/P062301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1618747,1708.07132,http://arxiv.org/abs/1708.07132,,
232,Collision energy dependence of moments of net-kaon multiplicity distributions at RHIC,https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-moments-net-kaon-multiplicity-distributions-rhic,PLB 2018,PLB,2018,Phys. Lett. B 785 (2018) 551,published,http://dx.doi.org/10.1016/j.physletb.2018.07.066,Phys. Lett. B server,https://www.hepdata.net/record/ins1621460,1709.00773,http://arxiv.org/abs/1709.00773,,
230,"Beam Energy Dependence of Jet-Quenching Effects in Au+Au Collisions at sqrt(sNN) = 7.7, 11.5, 14.5, 19.6, 27, 39, and 62.4 GeV",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-jet-quenching-effects-auau-collisions-sqrtsnn-77-115-145-196-27-,PRL 2018,PRL,2018,Phys. Rev. Lett. 121 (2018) 32301,published,http://link.aps.org/abstract/PRL/V121/P032301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1609067,1707.01988,http://arxiv.org/abs/1707.01988,,
228,Global Λ hyperon polarization in nuclear collisions: evidence for the most vortical fluid,https://drupal.star.bnl.gov/STAR/publications/global-lambda-hyperon-polarization-nuclear-collisions-evidence-most-vortical-fluid,Nature 2017,Nature,2017,Nature 548 (2017) 62,published,http://www.nature.com/nature/journal/v548/n7665/full/nature23004.html,Nature server,https://www.hepdata.net/record/ins1510474,1701.06657,http://arxiv.org/abs/1701.06657,,
227,"Measurements of Dielectron Production in Au+Au Collisions at sqrt(sNN)= 27, 39, and 62.4 GeV from the STAR Experiment",https://drupal.star.bnl.gov/STAR/publications/measurements-dielectron-production-auau-collisions-sqrtsnn-27-39-and-624-gev-star-exper,PRC 2023,PRC,2023,Phys. Rev. C 107 (2023) 0,published,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.107.L061901,Phys. Rev. C server,https://www.hepdata.net/record/ins1700232,1810.10159,http://arxiv.org/abs/1810.10159,,
218,"Energy dependence of J/psi production in Au+Au collisions at sqrt(sNN)=39, 62.4 and 200GeV",https://drupal.star.bnl.gov/STAR/publications/energy-dependence-jpsi-production-auau-collisions-sqrtsnn-39-624-and-200-gev,PLB 2017,PLB,2017,Phys. Lett. B 771 (2017) 13,published,http://dx.doi.org/10.1016/j.physletb.2017.04.078,Phys. Lett. B server,https://www.hepdata.net/record/ins1478040,1607.07517,http://arxiv.org/abs/1607.07517,,
213,Beam Energy Dependence of the Third Harmonic of Azimuthal Correlations in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-third-harmonic-azimuthal-correlations-auau-collisions-rhic,PRL 2016,PRL,2016,Phys. Rev. Lett. 116 (2016) 112302,published,http://link.aps.org/abstract/PRL/V116/P112302,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1414638,1601.01999,http://arxiv.org/abs/1601.01999,,
212,Centrality dependence of identified particle elliptic flow in relativistic heavy ion collisions at sqrt(sNN)= 7.7-62.4 GeV,https://drupal.star.bnl.gov/STAR/publications/centrality-dependence-identified-particle-elliptic-flow-relativistic-heavy-ion-collisio,PRC 2016,PRC,2016,Phys. Rev. C 93 (2016) 14907,published,http://link.aps.org/abstract/PRC/V93/P014907,Phys. Rev. C server,https://www.hepdata.net/record/ins1395151,1509.08397,http://arxiv.org/abs/1509.08397,,
208,"Measurement of elliptic flow of light nuclei at sqrt(sNN) = 200, 62.4, 39, 27, 19.6, 11.5, and 7.7 GeV at RHIC",https://drupal.star.bnl.gov/STAR/publications/measurement-elliptic-flow-light-nuclei-sqrtsnn-200-624-39-27-196-115-and-77-gev-rhic,PRC 2016,PRC,2016,Phys. Rev. C 94 (2016) 34908,published,http://link.aps.org/abstract/PRC/V94/P034908,Phys. Rev. C server,https://www.hepdata.net/record/ins1416992,1601.07052,http://arxiv.org/abs/1601.07052,,
