paper_id,particle,observable,energy_GeV,value,stat_err,sys_err,centrality,source,note
34,K+,dN/dy,62.4,37.6,2.7,,0-5%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
34,K-,dN/dy,62.4,32.4,2.3,,0-5%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
ins871561,Ks0,dN/dy,62.4,26.7,,0.6,0-5%,ins871561/Figure6 up,Direct STAR K0S yield from HEPData t12; RHIC points are centrality 0-5% per table description.
ins871561,Lambda,dN/dy,62.4,15.576031,,2.306688,0-5%,ins871561/Figure9 (ratio-derived absolute yield),Derived via STAR Fig.9 ratios Lambda_bar/Pi- and Lambda_bar/Lambda (0-5%) with local pi- (0-5%); uncertainty propagated.
ins871561,Lambda_bar,dN/dy,62.4,7.2522,,1.0400425,0-5%,ins871561/Figure9 (ratio-derived absolute yield),Derived from STAR Fig.9 ratio Lambda_bar/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
ins871561,Xi,dN/dy,62.4,1.7397156,,0.30642213,0-5%,ins871561/Figure9 (ratio-derived absolute yield),Derived via STAR Fig.9 ratios Xi+/Pi- and Xi+/Xi- (0-5%) with local pi- (0-5%); uncertainty propagated.
ins871561,Xi_bar,dN/dy,62.4,1.1376,,0.18488204,0-5%,ins871561/Figure9 (ratio-derived absolute yield),Derived from STAR Fig.9 ratio Xi+/Pi- (0-5%) and local pi- (0-5%); uncertainty propagated in quadrature.
34,K+,dN/dy,130.0,46.3,3.0,,0-6%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
34,K-,dN/dy,130.0,42.7,2.8,,0-6%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
3024,Xi,dN/dy,130.0,2.16,0.09,0.21600000000000003,0-10%,arXiv:nucl-ex/0307024/Table I,includes 10% pT-independent systematic per paper
3024,Xi_bar,dN/dy,130.0,1.81,0.08,0.18100000000000002,0-10%,arXiv:nucl-ex/0307024/Table I,includes 10% pT-independent systematic per paper
34,K+,dN/dy,200.0,51.3,6.5,,0-5%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
34,K-,dN/dy,200.0,49.5,6.2,,0-5%,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
ins871561,Ks0,dN/dy,200.0,38.3,,1.6,0-5%,ins871561/Figure6 up,Direct STAR K0S yield from HEPData t12; RHIC points are centrality 0-5% per table description.
6014,Lambda,dN/dy,200.0,16.7,0.2,1.1,0-5%,arXiv:nucl-ex/0606014/Table I,
6014,Lambda_bar,dN/dy,200.0,12.7,0.2,0.9,0-5%,arXiv:nucl-ex/0606014/Table I,
6014,Xi,dN/dy,200.0,2.17,0.06,0.19,0-5%,arXiv:nucl-ex/0606014/Table I,
6014,Xi_bar,dN/dy,200.0,1.83,0.05,0.2,0-5%,arXiv:nucl-ex/0606014/Table I,
43,phi,dN/dy,200.0,7.7,0.3,0.85,0-5%,ins651461/Table 1,
